Data,EUR_PLN,EUR_USD
1997-01-02,3.5914,1.2523
1997-01-03,3.5559,1.2354
1997-01-06,3.5615,1.2401
1997-01-07,3.5711,1.2398
1997-01-08,3.5565,1.2325
1997-01-09,3.5712,1.2326
1997-01-10,3.5611,1.2245
1997-01-13,3.5505,1.2234
1997-01-14,3.5498,1.2197
1997-01-15,3.5448,1.2236
1997-01-16,3.5375,1.2197
1997-01-17,3.5192,1.204
1997-01-20,3.527,1.1979
1997-01-21,3.5206,1.1947
1997-01-22,3.5156,1.186
1997-01-23,3.5238,1.1833
1997-01-24,3.5535,1.1882
1997-01-27,3.5526,1.182
1997-01-28,3.5371,1.1767
1997-01-29,3.5455,1.1781
1997-01-30,3.5477,1.1821
1997-01-31,3.5444,1.1791
1997-02-03,3.5518,1.1782
1997-02-04,3.5327,1.1756
1997-02-05,3.5316,1.1793
1997-02-06,3.5258,1.1741
1997-02-07,3.5138,1.1705
1997-02-10,3.5245,1.1716
1997-02-11,3.5047,1.1604
1997-02-12,3.4978,1.1545
1997-02-13,3.5031,1.1539
1997-02-14,3.4953,1.1503
1997-02-17,3.4809,1.1447
1997-02-18,3.4716,1.1497
1997-02-19,3.4774,1.1417
1997-02-20,3.5058,1.1508
1997-02-21,3.5006,1.1483
1997-02-24,3.5195,1.1594
1997-02-25,3.5214,1.1605
1997-02-26,3.5114,1.1496
1997-02-27,3.5185,1.1491
1997-02-28,3.5134,1.1463
1997-03-03,3.5036,1.1431
1997-03-04,3.4929,1.1347
1997-03-05,3.4927,1.1351
1997-03-06,3.5041,1.1338
1997-03-07,3.5001,1.1339
1997-03-10,3.5096,1.1418
1997-03-11,3.5187,1.1406
1997-03-12,3.5126,1.1427
1997-03-13,3.5167,1.1393
1997-03-14,3.5277,1.1449
1997-03-17,3.5291,1.1445
1997-03-18,3.5447,1.1545
1997-03-19,3.536,1.1516
1997-03-20,3.5323,1.1443
1997-03-21,3.538,1.1506
1997-03-24,3.5477,1.1503
1997-03-25,3.5393,1.1493
1997-03-26,3.5484,1.1509
1997-03-27,3.5707,1.1615
1997-03-28,3.5575,1.1573
1997-04-01,3.578,1.1667
1997-04-02,3.569,1.1612
1997-04-03,3.5773,1.165
1997-04-04,3.5684,1.1553
1997-04-07,3.5504,1.1418
1997-04-08,3.5459,1.1395
1997-04-09,3.5341,1.1322
1997-04-10,3.5359,1.1357
1997-04-11,3.5379,1.1341
1997-04-14,3.5377,1.1305
1997-04-15,3.5322,1.1308
1997-04-16,3.5299,1.1295
1997-04-17,3.5661,1.1332
1997-04-18,3.5705,1.1405
1997-04-21,3.5854,1.1459
1997-04-22,3.5687,1.134
1997-04-23,3.5708,1.1375
1997-04-24,3.5716,1.1345
1997-04-25,3.5556,1.127
1997-04-28,3.5689,1.1257
1997-04-29,3.5728,1.1316
1997-04-30,3.566,1.125
1997-05-02,3.5692,1.1281
1997-05-05,3.5666,1.1248
1997-05-06,3.5765,1.13
1997-05-07,3.577,1.1315
1997-05-08,3.5972,1.1395
1997-05-09,3.6213,1.1511
1997-05-12,3.5962,1.1393
1997-05-13,3.6122,1.1504
1997-05-14,3.6122,1.1513
1997-05-15,3.6172,1.1492
1997-05-16,3.6315,1.1523
1997-05-19,3.607,1.142
1997-05-20,3.6248,1.1635
1997-05-21,3.6406,1.1525
1997-05-22,3.701,1.1502
1997-05-23,3.6902,1.1505
1997-05-26,3.6974,1.152
1997-05-27,3.6941,1.1424
1997-05-28,3.6731,1.1464
1997-05-30,3.6461,1.1405
1997-06-02,3.6334,1.1276
1997-06-03,3.6344,1.1292
1997-06-04,3.667,1.1291
1997-06-05,3.6391,1.1281
1997-06-06,3.6448,1.1285
1997-06-09,3.6566,1.1399
1997-06-10,3.6476,1.1316
1997-06-11,3.6523,1.1323
1997-06-12,3.6496,1.1267
1997-06-13,3.6457,1.1235
1997-06-16,3.6538,1.1287
1997-06-17,3.6593,1.1306
1997-06-18,3.6528,1.1274
1997-06-19,3.6721,1.133
1997-06-20,3.6714,1.1327
1997-06-23,3.687,1.1413
1997-06-24,3.673,1.1357
1997-06-25,3.6762,1.136
1997-06-26,3.6858,1.1352
1997-06-27,3.6872,1.1271
1997-06-30,3.7008,1.1262
1997-07-01,3.6851,1.1235
1997-07-02,3.6903,1.1218
1997-07-03,3.7072,1.1237
1997-07-04,3.7046,1.1225
1997-07-07,3.6821,1.1221
1997-07-08,3.6926,1.1175
1997-07-09,3.6961,1.1175
1997-07-10,3.7078,1.1226
1997-07-11,3.7062,1.105
1997-07-14,3.7297,1.1006
1997-07-15,3.8551,1.1002
1997-07-16,3.7698,1.1012
1997-07-17,3.8465,1.1003
1997-07-18,3.8419,1.1004
1997-07-21,3.814,1.099
1997-07-22,3.7578,1.0846
1997-07-23,3.7286,1.0848
1997-07-24,3.725,1.0804
1997-07-25,3.7062,1.0761
1997-07-28,3.7064,1.0706
1997-07-29,3.7286,1.073
1997-07-30,3.7265,1.0732
1997-07-31,3.7124,1.0728
1997-08-01,3.6694,1.0603
1997-08-04,3.666,1.058
1997-08-05,3.6588,1.05
1997-08-06,3.6564,1.0472
1997-08-07,3.6916,1.0528
1997-08-08,3.7003,1.0655
1997-08-11,3.685,1.0562
1997-08-12,3.6866,1.0552
1997-08-13,3.7282,1.0695
1997-08-14,3.7146,1.066
1997-08-18,3.7368,1.0705
1997-08-19,3.7346,1.0693
1997-08-20,3.7319,1.06
1997-08-21,3.728,1.071
1997-08-22,3.7981,1.0804
1997-08-25,3.7522,1.0792
1997-08-26,3.7734,1.0918
1997-08-27,3.7651,1.0885
1997-08-28,3.7928,1.0953
1997-08-29,3.782,1.0873
1997-09-01,3.7731,1.0833
1997-09-02,3.7604,1.0716
1997-09-03,3.7823,1.0774
1997-09-04,3.7919,1.0798
1997-09-05,3.815,1.0878
1997-09-08,3.8009,1.0842
1997-09-09,3.7967,1.0821
1997-09-10,3.8057,1.0895
1997-09-11,3.822,1.1014
1997-09-12,3.8217,1.1061
1997-09-15,3.8064,1.1109
1997-09-16,3.8058,1.1065
1997-09-17,3.7792,1.1059
1997-09-18,3.7718,1.102
1997-09-19,3.783,1.1045
1997-09-22,3.7616,1.0963
1997-09-23,3.7669,1.095
1997-09-24,3.7808,1.1062
1997-09-25,3.7906,1.1135
1997-09-26,3.7963,1.1131
1997-09-29,3.8018,1.1115
1997-09-30,3.8013,1.112
1997-10-01,3.7893,1.1043
1997-10-02,3.784,1.1056
1997-10-03,3.8057,1.1151
1997-10-06,3.8033,1.1143
1997-10-07,3.8094,1.1145
1997-10-08,3.8106,1.1202
1997-10-09,3.8058,1.1226
1997-10-10,3.793,1.1186
1997-10-13,3.7985,1.1205
1997-10-14,3.7973,1.1197
1997-10-15,3.8101,1.1229
1997-10-16,3.8071,1.1235
1997-10-17,3.7799,1.1105
1997-10-20,3.7796,1.1114
1997-10-21,3.7578,1.102
1997-10-22,3.7703,1.1043
1997-10-23,3.8037,1.1147
1997-10-24,3.8008,1.1098
1997-10-27,3.8865,1.1233
1997-10-28,4.0177,1.131
1997-10-29,3.9579,1.1405
1997-10-30,3.9842,1.1445
1997-10-31,3.9807,1.1425
1997-11-03,3.9024,1.1356
1997-11-04,3.9345,1.1448
1997-11-05,3.9576,1.1492
1997-11-06,3.9892,1.1456
1997-11-07,4.0395,1.1554
1997-11-10,4.0507,1.1575
1997-11-12,4.012,1.1516
1997-11-13,4.0372,1.1453
1997-11-14,3.9764,1.144
1997-11-17,4.0053,1.1435
1997-11-18,4.0046,1.1445
1997-11-19,4.0095,1.143
1997-11-20,4.0113,1.14
1997-11-21,4.004,1.14
1997-11-24,4.015,1.1395
1997-11-25,4.0008,1.1316
1997-11-26,3.9595,1.124
