Data,Gold_EUR,Silver_EUR,Platinum_EUR,Palladium_EUR
1997-01-06,95.76,3.74,300.8,288.57
1997-01-07,96.39,3.79,292.2,289.44
1997-01-08,97.36,3.77,290.9,288.64
1997-01-09,99.18,3.82,293.1,289.83
1997-01-10,100.04,3.89,297.7,293.22
1997-01-13,99.93,3.84,297.1,293.24
1997-01-14,99.41,3.85,296.8,289.87
1997-01-15,99.09,3.83,295.8,287.88
1997-01-16,99.41,3.9,294.7,290.28
1997-01-17,101.54,3.96,299.2,295.22
1997-01-20,101.43,3.96,299.7,295.39
1997-01-21,101.91,3.96,300.3,295.43
1997-01-22,102.23,3.96,300.8,295.95
1997-01-23,102.05,4.08,300.7,297.26
1997-01-24,102.68,4.14,301.1,296.71
1997-01-27,103.64,4.25,302.7,301.61
1997-01-28,104.32,4.21,305.3,300.2
1997-01-29,102.92,4.19,301.1,298.15
1997-01-30,102.78,4.2,298.4,292.4
1997-01-31,104.87,4.17,297.9,291.83
1997-02-03,105.46,4.17,296.6,294.22
1997-02-04,105.69,4.13,297.3,292.91
1997-02-05,107.48,4.14,298.3,291.91
1997-02-06,109.87,4.12,299.4,292.1
1997-02-07,110.21,4.21,300.3,291.03
1997-02-10,114.59,4.22,300.9,291.4
1997-02-11,116.55,4.17,305.3,293.0
1997-02-12,118.36,4.45,308.4,297.14
1997-02-13,120.24,4.46,318.9,297.86
1997-02-14,118.45,4.57,318.8,297.92
1997-02-17,116.41,4.55,317.8,300.52
1997-02-18,117.2,4.56,320.7,300.38
1997-02-19,117.81,4.55,321.2,302.93
1997-02-20,114.92,4.54,316.3,305.01
1997-02-21,118.44,4.57,321.6,306.76
1997-02-24,119.89,4.49,321.3,304.55
1997-02-25,120.64,4.51,321.2,305.26
1997-02-26,130.48,4.51,333.6,308.15
1997-02-27,136.63,4.58,341.1,312.64
1997-02-28,133.39,4.65,342.0,316.89
1997-03-03,131.22,4.65,339.0,316.77
1997-03-04,131.97,4.62,339.5,316.34
1997-03-05,126.64,4.56,336.5,310.77
1997-03-06,129.21,4.59,336.9,310.5
1997-03-07,131.18,4.59,336.7,307.79
1997-03-10,132.25,4.6,331.3,308.07
1997-03-11,138.09,4.61,336.4,310.14
1997-03-12,132.58,4.56,333.0,307.39
1997-03-13,133.42,4.63,335.3,310.15
1997-03-14,132.98,4.62,334.3,308.28
1997-03-17,132.81,4.57,331.1,303.58
1997-03-18,123.43,4.49,325.5,301.73
1997-03-19,126.56,4.55,326.7,305.88
1997-03-20,132.18,4.54,331.9,306.96
1997-03-21,129.06,4.48,328.5,306.41
1997-03-24,128.66,4.5,326.2,304.4
1997-03-25,127.03,4.46,326.1,303.35
1997-03-26,124.69,4.47,323.7,304.5
1997-03-27,126.13,4.41,321.6,299.74
1997-04-01,124.93,4.28,315.4,301.66
1997-04-02,128.53,4.2,318.0,300.59
1997-04-03,125.75,4.07,316.1,299.36
1997-04-04,126.37,4.1,315.1,302.09
1997-04-07,131.81,4.2,318.8,305.04
1997-04-08,135.15,4.2,320.8,305.88
1997-04-09,138.67,4.23,323.9,307.41
1997-04-10,136.92,4.23,324.2,306.42
1997-04-11,138.88,4.18,327.6,305.93
1997-04-14,136.44,4.18,327.3,306.46
1997-04-15,133.09,4.17,322.3,302.22
1997-04-16,131.92,4.25,322.7,302.21
1997-04-17,133.69,4.17,327.0,302.29
1997-04-18,131.96,4.16,330.6,299.3
1997-04-21,136.57,4.15,332.5,299.36
1997-04-22,138.01,4.19,335.3,301.32
1997-04-23,135.38,4.16,327.9,299.65
1997-04-24,138.39,4.16,330.1,300.35
1997-04-25,143.3,4.21,336.5,303.68
1997-04-28,140.14,4.12,333.1,301.59
1997-04-29,140.73,4.12,330.9,300.33
1997-04-30,138.67,4.2,332.7,301.56
1997-05-01,138.36,4.21,328.9,300.81
1997-05-02,139.84,4.17,330.9,301.61
1997-05-06,139.6,4.18,331.0,301.11
1997-05-07,136.99,4.19,329.7,301.59
1997-05-08,138.31,4.26,330.4,301.45
1997-05-09,142.91,4.24,333.2,302.32
1997-05-12,148.56,4.25,343.2,305.23
1997-05-13,147.77,4.23,337.7,303.81
1997-05-14,151.57,4.23,342.2,301.88
1997-05-15,150.41,4.21,342.4,302.12
1997-05-16,149.48,4.07,340.4,298.66
1997-05-19,150.83,4.1,339.3,299.17
1997-05-20,154.49,4.04,337.3,294.76
1997-05-21,154.45,4.08,341.4,297.21
1997-05-22,151.71,4.08,338.0,298.08
1997-05-23,148.11,4.12,336.4,297.78
1997-05-27,155.37,4.16,348.4,300.81
1997-05-28,161.37,4.12,348.5,300.51
1997-05-29,168.4,4.16,363.0,300.45
1997-06-02,152.54,4.2,353.4,305.03
1997-06-03,166.93,4.19,359.5,304.15
1997-06-04,184.22,4.21,371.1,302.58
1997-06-05,186.15,4.26,391.8,303.56
1997-06-09,200.02,4.22,416.7,301.78
1997-06-10,187.35,4.23,399.4,303.95
1997-06-11,192.53,4.22,404.5,303.93
1997-06-12,185.5,4.2,392.3,303.76
1997-06-13,179.8,4.19,389.0,304.0
1997-06-16,179.85,4.18,385.4,303.0
1997-06-17,173.36,4.24,368.8,302.27
1997-06-18,168.53,4.2,362.8,301.71
1997-06-19,179.17,4.19,368.9,299.33
1997-06-20,176.57,4.18,370.8,298.0
1997-06-23,175.24,4.19,368.9,297.07
1997-06-24,171.26,4.21,364.5,297.48
1997-06-25,172.54,4.22,366.2,297.05
1997-06-26,172.22,4.21,368.2,297.97
1997-06-27,172.12,4.2,374.0,297.0
1997-06-30,170.48,4.12,381.8,296.57
1997-07-01,174.45,4.17,388.1,297.33
1997-07-02,171.15,4.14,378.9,295.55
1997-07-03,169.97,4.08,377.3,289.0
1997-07-04,170.16,4.06,377.7,289.09
1997-07-07,160.41,3.82,364.5,283.98
1997-07-08,157.49,3.89,366.0,286.58
1997-07-09,150.78,3.86,355.3,284.79
1997-07-10,144.31,3.86,352.8,284.74
1997-07-11,152.94,3.96,365.6,291.0
1997-07-14,156.28,3.9,368.0,290.52
1997-07-15,156.34,3.92,367.2,289.08
1997-07-16,159.14,3.92,370.1,288.78
1997-07-17,159.5,3.88,368.1,294.47
1997-07-18,165.39,3.88,370.3,296.48
1997-07-21,173.79,3.92,376.3,297.22
1997-07-22,183.02,3.98,388.2,300.2
1997-07-23,181.6,3.96,383.5,296.83
1997-07-24,183.27,3.98,385.5,299.89
1997-07-25,190.5,4.05,391.2,302.71
1997-07-28,190.55,4.09,399.8,305.81
1997-07-29,184.53,4.05,396.1,303.68
1997-07-30,194.74,4.09,400.7,304.18
1997-07-31,196.68,4.16,405.5,302.53
1997-08-01,214.56,4.22,408.4,306.28
1997-08-04,225.9,4.27,423.4,306.19
1997-08-05,227.62,4.13,435.2,304.05
1997-08-06,221.54,4.15,416.3,305.34
1997-08-07,208.02,4.17,408.4,305.71
1997-08-08,217.74,4.18,413.9,305.82
1997-08-11,221.55,4.22,420.8,311.16
1997-08-12,217.97,4.2,414.1,309.85
1997-08-13,209.44,4.23,403.9,306.92
1997-08-14,201.69,4.16,399.6,304.88
1997-08-15,195.19,4.09,390.4,300.19
1997-08-18,192.43,4.22,395.1,300.28
1997-08-19,185.17,4.25,384.8,302.39
1997-08-20,179.25,4.27,382.5,303.07
1997-08-21,189.54,4.24,388.4,301.91
1997-08-26,180.44,4.26,371.9,298.36
1997-08-27,171.34,4.29,373.0,298.99
1997-08-28,171.64,4.28,372.5,295.76
1997-08-29,175.66,4.35,376.2,298.12
1997-09-01,172.62,4.3,377.6,299.69
1997-09-02,174.97,4.32,383.1,301.19
1997-09-03,173.1,4.34,376.8,298.91
1997-09-04,175.03,4.34,387.1,297.6
1997-09-05,173.29,4.35,385.9,296.24
1997-09-08,172.02,4.33,384.2,296.95
1997-09-09,172.35,4.4,387.2,297.11
1997-09-10,171.64,4.35,387.8,295.04
1997-09-11,173.42,4.32,387.7,294.22
1997-09-12,174.94,4.31,386.9,292.7
1997-09-15,173.73,4.29,384.4,290.71
1997-09-16,173.07,4.18,383.2,289.88
1997-09-17,169.09,4.16,379.8,289.58
1997-09-18,173.32,4.26,384.3,290.97
1997-09-19,176.55,4.27,387.5,290.49
1997-09-22,176.05,4.29,397.7,292.76
1997-09-23,172.15,4.3,398.2,294.02
1997-09-24,175.38,4.3,399.6,292.58
